activity_code,subject_id,trial,fall_event,source_path,n_samples,sample_rate_hz,inferred_duration_sec,expected_duration_sec,duration_delta_sec
F06,SA01,01,1,data\raw\sisfall\SA01\F06_SA01_R01.txt,3000,200,15.0,15,0.0
F06,SA01,02,1,data\raw\sisfall\SA01\F06_SA01_R02.txt,3000,200,15.0,15,0.0
F06,SA01,03,1,data\raw\sisfall\SA01\F06_SA01_R03.txt,3000,200,15.0,15,0.0
F06,SA01,04,1,data\raw\sisfall\SA01\F06_SA01_R04.txt,3000,200,15.0,15,0.0
F06,SA01,05,1,data\raw\sisfall\SA01\F06_SA01_R05.txt,3000,200,15.0,15,0.0
F07,SA01,01,1,data\raw\sisfall\SA01\F07_SA01_R01.txt,3000,200,15.0,15,0.0
F07,SA01,02,1,data\raw\sisfall\SA01\F07_SA01_R02.txt,3000,200,15.0,15,0.0
F07,SA01,03,1,data\raw\sisfall\SA01\F07_SA01_R03.txt,3000,200,15.0,15,0.0
F07,SA01,04,1,data\raw\sisfall\SA01\F07_SA01_R04.txt,3000,200,15.0,15,0.0
F07,SA01,05,1,data\raw\sisfall\SA01\F07_SA01_R05.txt,3000,200,15.0,15,0.0
F08,SA01,01,1,data\raw\sisfall\SA01\F08_SA01_R01.txt,3000,200,15.0,15,0.0
F08,SA01,02,1,data\raw\sisfall\SA01\F08_SA01_R02.txt,3000,200,15.0,15,0.0
F08,SA01,03,1,data\raw\sisfall\SA01\F08_SA01_R03.txt,3000,200,15.0,15,0.0
F08,SA01,04,1,data\raw\sisfall\SA01\F08_SA01_R04.txt,3000,200,15.0,15,0.0
F08,SA01,05,1,data\raw\sisfall\SA01\F08_SA01_R05.txt,3000,200,15.0,15,0.0
F09,SA01,01,1,data\raw\sisfall\SA01\F09_SA01_R01.txt,3000,200,15.0,15,0.0
F09,SA01,02,1,data\raw\sisfall\SA01\F09_SA01_R02.txt,3000,200,15.0,15,0.0
F09,SA01,03,1,data\raw\sisfall\SA01\F09_SA01_R03.txt,3000,200,15.0,15,0.0
F09,SA01,04,1,data\raw\sisfall\SA01\F09_SA01_R04.txt,3000,200,15.0,15,0.0
F09,SA01,05,1,data\raw\sisfall\SA01\F09_SA01_R05.txt,3000,200,15.0,15,0.0
F10,SA01,01,1,data\raw\sisfall\SA01\F10_SA01_R01.txt,3000,200,15.0,15,0.0
F10,SA01,02,1,data\raw\sisfall\SA01\F10_SA01_R02.txt,3000,200,15.0,15,0.0
F10,SA01,03,1,data\raw\sisfall\SA01\F10_SA01_R03.txt,3000,200,15.0,15,0.0
F10,SA01,04,1,data\raw\sisfall\SA01\F10_SA01_R04.txt,3000,200,15.0,15,0.0
F10,SA01,05,1,data\raw\sisfall\SA01\F10_SA01_R05.txt,3000,200,15.0,15,0.0
F11,SA01,01,1,data\raw\sisfall\SA01\F11_SA01_R01.txt,3000,200,15.0,15,0.0
F11,SA01,02,1,data\raw\sisfall\SA01\F11_SA01_R02.txt,3000,200,15.0,15,0.0
F11,SA01,03,1,data\raw\sisfall\SA01\F11_SA01_R03.txt,3000,200,15.0,15,0.0
F11,SA01,04,1,data\raw\sisfall\SA01\F11_SA01_R04.txt,3000,200,15.0,15,0.0
F11,SA01,05,1,data\raw\sisfall\SA01\F11_SA01_R05.txt,3000,200,15.0,15,0.0
F12,SA01,01,1,data\raw\sisfall\SA01\F12_SA01_R01.txt,3000,200,15.0,15,0.0
F12,SA01,02,1,data\raw\sisfall\SA01\F12_SA01_R02.txt,3000,200,15.0,15,0.0
F12,SA01,03,1,data\raw\sisfall\SA01\F12_SA01_R03.txt,3000,200,15.0,15,0.0
F12,SA01,04,1,data\raw\sisfall\SA01\F12_SA01_R04.txt,3000,200,15.0,15,0.0
F12,SA01,05,1,data\raw\sisfall\SA01\F12_SA01_R05.txt,3000,200,15.0,15,0.0
F13,SA01,01,1,data\raw\sisfall\SA01\F13_SA01_R01.txt,3000,200,15.0,15,0.0
F13,SA01,02,1,data\raw\sisfall\SA01\F13_SA01_R02.txt,3000,200,15.0,15,0.0
F13,SA01,03,1,data\raw\sisfall\SA01\F13_SA01_R03.txt,3000,200,15.0,15,0.0
F13,SA01,04,1,data\raw\sisfall\SA01\F13_SA01_R04.txt,3000,200,15.0,15,0.0
F13,SA01,05,1,data\raw\sisfall\SA01\F13_SA01_R05.txt,3000,200,15.0,15,0.0
F14,SA01,01,1,data\raw\sisfall\SA01\F14_SA01_R01.txt,3000,200,15.0,15,0.0
F14,SA01,02,1,data\raw\sisfall\SA01\F14_SA01_R02.txt,3000,200,15.0,15,0.0
F14,SA01,03,1,data\raw\sisfall\SA01\F14_SA01_R03.txt,3000,200,15.0,15,0.0
F14,SA01,04,1,data\raw\sisfall\SA01\F14_SA01_R04.txt,3000,200,15.0,15,0.0
F14,SA01,05,1,data\raw\sisfall\SA01\F14_SA01_R05.txt,3000,200,15.0,15,0.0
F15,SA01,01,1,data\raw\sisfall\SA01\F15_SA01_R01.txt,3000,200,15.0,15,0.0
F15,SA01,02,1,data\raw\sisfall\SA01\F15_SA01_R02.txt,3000,200,15.0,15,0.0
F15,SA01,03,1,data\raw\sisfall\SA01\F15_SA01_R03.txt,3000,200,15.0,15,0.0
F15,SA01,04,1,data\raw\sisfall\SA01\F15_SA01_R04.txt,3000,200,15.0,15,0.0
F15,SA01,05,1,data\raw\sisfall\SA01\F15_SA01_R05.txt,3000,200,15.0,15,0.0
D01,SA02,01,0,data\raw\sisfall\SA02\D01_SA02_R01.txt,19999,200,100.0,100,-0.0
D02,SA02,01,0,data\raw\sisfall\SA02\D02_SA02_R01.txt,20000,200,100.0,100,0.0
D03,SA02,01,0,data\raw\sisfall\SA02\D03_SA02_R01.txt,20000,200,100.0,100,0.0
D04,SA02,01,0,data\raw\sisfall\SA02\D04_SA02_R01.txt,20000,200,100.0,100,0.0
D05,SA02,01,0,data\raw\sisfall\SA02\D05_SA02_R01.txt,5000,200,25.0,25,0.0
D05,SA02,02,0,data\raw\sisfall\SA02\D05_SA02_R02.txt,5000,200,25.0,25,0.0
D05,SA02,03,0,data\raw\sisfall\SA02\D05_SA02_R03.txt,5000,200,25.0,25,0.0
D05,SA02,04,0,data\raw\sisfall\SA02\D05_SA02_R04.txt,5000,200,25.0,25,0.0
D05,SA02,05,0,data\raw\sisfall\SA02\D05_SA02_R05.txt,5000,200,25.0,25,0.0
D06,SA02,01,0,data\raw\sisfall\SA02\D06_SA02_R01.txt,5000,200,25.0,25,0.0
D06,SA02,02,0,data\raw\sisfall\SA02\D06_SA02_R02.txt,5000,200,25.0,25,0.0
D06,SA02,03,0,data\raw\sisfall\SA02\D06_SA02_R03.txt,5000,200,25.0,25,0.0
D06,SA02,04,0,data\raw\sisfall\SA02\D06_SA02_R04.txt,5000,200,25.0,25,0.0
D06,SA02,05,0,data\raw\sisfall\SA02\D06_SA02_R05.txt,5000,200,25.0,25,0.0
D07,SA02,01,0,data\raw\sisfall\SA02\D07_SA02_R01.txt,2400,200,12.0,12,0.0
D07,SA02,02,0,data\raw\sisfall\SA02\D07_SA02_R02.txt,2400,200,12.0,12,0.0
D07,SA02,03,0,data\raw\sisfall\SA02\D07_SA02_R03.txt,2400,200,12.0,12,0.0
D07,SA02,04,0,data\raw\sisfall\SA02\D07_SA02_R04.txt,2400,200,12.0,12,0.0
D07,SA02,05,0,data\raw\sisfall\SA02\D07_SA02_R05.txt,2400,200,12.0,12,0.0
D08,SA02,01,0,data\raw\sisfall\SA02\D08_SA02_R01.txt,2400,200,12.0,12,0.0
D08,SA02,02,0,data\raw\sisfall\SA02\D08_SA02_R02.txt,2400,200,12.0,12,0.0
D08,SA02,03,0,data\raw\sisfall\SA02\D08_SA02_R03.txt,2400,200,12.0,12,0.0
D08,SA02,04,0,data\raw\sisfall\SA02\D08_SA02_R04.txt,2400,200,12.0,12,0.0
D08,SA02,05,0,data\raw\sisfall\SA02\D08_SA02_R05.txt,2400,200,12.0,12,0.0
D09,SA02,01,0,data\raw\sisfall\SA02\D09_SA02_R01.txt,2400,200,12.0,12,0.0
D09,SA02,02,0,data\raw\sisfall\SA02\D09_SA02_R02.txt,2400,200,12.0,12,0.0
D09,SA02,03,0,data\raw\sisfall\SA02\D09_SA02_R03.txt,2400,200,12.0,12,0.0
D09,SA02,04,0,data\raw\sisfall\SA02\D09_SA02_R04.txt,2400,200,12.0,12,0.0
D09,SA02,05,0,data\raw\sisfall\SA02\D09_SA02_R05.txt,2400,200,12.0,12,0.0
D10,SA02,01,0,data\raw\sisfall\SA02\D10_SA02_R01.txt,2400,200,12.0,12,0.0
D10,SA02,02,0,data\raw\sisfall\SA02\D10_SA02_R02.txt,2400,200,12.0,12,0.0
D10,SA02,03,0,data\raw\sisfall\SA02\D10_SA02_R03.txt,2400,200,12.0,12,0.0
D10,SA02,04,0,data\raw\sisfall\SA02\D10_SA02_R04.txt,2400,200,12.0,12,0.0
D10,SA02,05,0,data\raw\sisfall\SA02\D10_SA02_R05.txt,2400,200,12.0,12,0.0
D11,SA02,01,0,data\raw\sisfall\SA02\D11_SA02_R01.txt,2400,200,12.0,12,0.0
D11,SA02,02,0,data\raw\sisfall\SA02\D11_SA02_R02.txt,2400,200,12.0,12,0.0
D11,SA02,03,0,data\raw\sisfall\SA02\D11_SA02_R03.txt,2400,200,12.0,12,0.0
D11,SA02,04,0,data\raw\sisfall\SA02\D11_SA02_R04.txt,2400,200,12.0,12,0.0
D11,SA02,05,0,data\raw\sisfall\SA02\D11_SA02_R05.txt,2400,200,12.0,12,0.0
D12,SA02,01,0,data\raw\sisfall\SA02\D12_SA02_R01.txt,2400,200,12.0,12,0.0
D12,SA02,02,0,data\raw\sisfall\SA02\D12_SA02_R02.txt,2400,200,12.0,12,0.0
D12,SA02,03,0,data\raw\sisfall\SA02\D12_SA02_R03.txt,2400,200,12.0,12,0.0
D12,SA02,04,0,data\raw\sisfall\SA02\D12_SA02_R04.txt,2400,200,12.0,12,0.0
D12,SA02,05,0,data\raw\sisfall\SA02\D12_SA02_R05.txt,2400,200,12.0,12,0.0
D13,SA02,01,0,data\raw\sisfall\SA02\D13_SA02_R01.txt,2400,200,12.0,12,0.0
D13,SA02,02,0,data\raw\sisfall\SA02\D13_SA02_R02.txt,2400,200,12.0,12,0.0
D13,SA02,03,0,data\raw\sisfall\SA02\D13_SA02_R03.txt,2400,200,12.0,12,0.0
D13,SA02,04,0,data\raw\sisfall\SA02\D13_SA02_R04.txt,2400,200,12.0,12,0.0
D13,SA02,05,0,data\raw\sisfall\SA02\D13_SA02_R05.txt,2400,200,12.0,12,0.0
D14,SA02,01,0,data\raw\sisfall\SA02\D14_SA02_R01.txt,2399,200,11.99,12,-0.01
D14,SA02,02,0,data\raw\sisfall\SA02\D14_SA02_R02.txt,2400,200,12.0,12,0.0
D14,SA02,03,0,data\raw\sisfall\SA02\D14_SA02_R03.txt,2400,200,12.0,12,0.0
D14,SA02,04,0,data\raw\sisfall\SA02\D14_SA02_R04.txt,2400,200,12.0,12,0.0
D14,SA02,05,0,data\raw\sisfall\SA02\D14_SA02_R05.txt,2400,200,12.0,12,0.0
D15,SA02,01,0,data\raw\sisfall\SA02\D15_SA02_R01.txt,2400,200,12.0,12,0.0
D15,SA02,02,0,data\raw\sisfall\SA02\D15_SA02_R02.txt,2400,200,12.0,12,0.0
D15,SA02,03,0,data\raw\sisfall\SA02\D15_SA02_R03.txt,2400,200,12.0,12,0.0
D15,SA02,04,0,data\raw\sisfall\SA02\D15_SA02_R04.txt,2400,200,12.0,12,0.0
D15,SA02,05,0,data\raw\sisfall\SA02\D15_SA02_R05.txt,2400,200,12.0,12,0.0
D16,SA02,01,0,data\raw\sisfall\SA02\D16_SA02_R01.txt,2399,200,11.99,12,-0.01
D16,SA02,02,0,data\raw\sisfall\SA02\D16_SA02_R02.txt,2400,200,12.0,12,0.0
D16,SA02,03,0,data\raw\sisfall\SA02\D16_SA02_R03.txt,2400,200,12.0,12,0.0
D16,SA02,04,0,data\raw\sisfall\SA02\D16_SA02_R04.txt,2400,200,12.0,12,0.0
D16,SA02,05,0,data\raw\sisfall\SA02\D16_SA02_R05.txt,2400,200,12.0,12,0.0
D17,SA02,01,0,data\raw\sisfall\SA02\D17_SA02_R01.txt,5000,200,25.0,25,0.0
D17,SA02,02,0,data\raw\sisfall\SA02\D17_SA02_R02.txt,5000,200,25.0,25,0.0
D17,SA02,03,0,data\raw\sisfall\SA02\D17_SA02_R03.txt,5000,200,25.0,25,0.0
D17,SA02,04,0,data\raw\sisfall\SA02\D17_SA02_R04.txt,5000,200,25.0,25,0.0
D17,SA02,05,0,data\raw\sisfall\SA02\D17_SA02_R05.txt,5000,200,25.0,25,0.0
D18,SA02,01,0,data\raw\sisfall\SA02\D18_SA02_R01.txt,2400,200,12.0,12,0.0
D18,SA02,02,0,data\raw\sisfall\SA02\D18_SA02_R02.txt,2400,200,12.0,12,0.0
D18,SA02,03,0,data\raw\sisfall\SA02\D18_SA02_R03.txt,2400,200,12.0,12,0.0
D18,SA02,04,0,data\raw\sisfall\SA02\D18_SA02_R04.txt,2400,200,12.0,12,0.0
D18,SA02,05,0,data\raw\sisfall\SA02\D18_SA02_R05.txt,2400,200,12.0,12,0.0
D19,SA02,01,0,data\raw\sisfall\SA02\D19_SA02_R01.txt,2400,200,12.0,12,0.0
D19,SA02,02,0,data\raw\sisfall\SA02\D19_SA02_R02.txt,2400,200,12.0,12,0.0
D19,SA02,03,0,data\raw\sisfall\SA02\D19_SA02_R03.txt,2400,200,12.0,12,0.0
D19,SA02,04,0,data\raw\sisfall\SA02\D19_SA02_R04.txt,2400,200,12.0,12,0.0
D19,SA02,05,0,data\raw\sisfall\SA02\D19_SA02_R05.txt,2400,200,12.0,12,0.0
F01,SA02,01,1,data\raw\sisfall\SA02\F01_SA02_R01.txt,3000,200,15.0,15,0.0
F01,SA02,02,1,data\raw\sisfall\SA02\F01_SA02_R02.txt,3000,200,15.0,15,0.0
F01,SA02,03,1,data\raw\sisfall\SA02\F01_SA02_R03.txt,3000,200,15.0,15,0.0
F01,SA02,04,1,data\raw\sisfall\SA02\F01_SA02_R04.txt,3000,200,15.0,15,0.0
F01,SA02,05,1,data\raw\sisfall\SA02\F01_SA02_R05.txt,3000,200,15.0,15,0.0
F02,SA02,01,1,data\raw\sisfall\SA02\F02_SA02_R01.txt,3000,200,15.0,15,0.0
F02,SA02,02,1,data\raw\sisfall\SA02\F02_SA02_R02.txt,2999,200,14.99,15,-0.01
F02,SA02,03,1,data\raw\sisfall\SA02\F02_SA02_R03.txt,3000,200,15.0,15,0.0
F02,SA02,04,1,data\raw\sisfall\SA02\F02_SA02_R04.txt,3000,200,15.0,15,0.0
F02,SA02,05,1,data\raw\sisfall\SA02\F02_SA02_R05.txt,3000,200,15.0,15,0.0
F03,SA02,01,1,data\raw\sisfall\SA02\F03_SA02_R01.txt,3000,200,15.0,15,0.0
F03,SA02,02,1,data\raw\sisfall\SA02\F03_SA02_R02.txt,2999,200,14.99,15,-0.01
F03,SA02,03,1,data\raw\sisfall\SA02\F03_SA02_R03.txt,3000,200,15.0,15,0.0
F03,SA02,04,1,data\raw\sisfall\SA02\F03_SA02_R04.txt,3001,200,15.01,15,0.01
F03,SA02,05,1,data\raw\sisfall\SA02\F03_SA02_R05.txt,3000,200,15.0,15,0.0
F04,SA02,01,1,data\raw\sisfall\SA02\F04_SA02_R01.txt,3000,200,15.0,15,0.0
F04,SA02,02,1,data\raw\sisfall\SA02\F04_SA02_R02.txt,3000,200,15.0,15,0.0
F04,SA02,03,1,data\raw\sisfall\SA02\F04_SA02_R03.txt,3000,200,15.0,15,0.0
F04,SA02,04,1,data\raw\sisfall\SA02\F04_SA02_R04.txt,3000,200,15.0,15,0.0
F04,SA02,05,1,data\raw\sisfall\SA02\F04_SA02_R05.txt,3000,200,15.0,15,0.0
F05,SA02,01,1,data\raw\sisfall\SA02\F05_SA02_R01.txt,3000,200,15.0,15,0.0
F05,SA02,02,1,data\raw\sisfall\SA02\F05_SA02_R02.txt,3000,200,15.0,15,0.0
F05,SA02,03,1,data\raw\sisfall\SA02\F05_SA02_R03.txt,3000,200,15.0,15,0.0
F05,SA02,04,1,data\raw\sisfall\SA02\F05_SA02_R04.txt,3000,200,15.0,15,0.0
F05,SA02,05,1,data\raw\sisfall\SA02\F05_SA02_R05.txt,3000,200,15.0,15,0.0
F06,SA02,01,1,data\raw\sisfall\SA02\F06_SA02_R01.txt,3000,200,15.0,15,0.0
F06,SA02,02,1,data\raw\sisfall\SA02\F06_SA02_R02.txt,3000,200,15.0,15,0.0
F06,SA02,03,1,data\raw\sisfall\SA02\F06_SA02_R03.txt,3000,200,15.0,15,0.0
